ID,Tên,Mô tả ngắn,Mô tả,Giá bán thường,Danh mục,Từ khóa,Hình ảnh
1,Bàn phím Logitech Gaming G213,"- Bàn phím cơ 
- Led RGB
- Tần số quét / tốc độ phản hồi 1000Hz / 1ms.","- Bàn phím sử dụng nút bấm cao su (rubber dome) không gây tiếng ồn.
- Led RGB 16,8 triệu màu tuỳ chỉnh bằng phần mềm Logitech Gaming Software.
- Thiết kế kê tay liền phím chống mỏi.
- Tích hợp các phím đa chức năng.
- Nút khoá phím Window (window lock) phục vụ chơi game tránh bấm nhầm.
- Tần số quét / tốc độ phản hồi 1000Hz / 1ms.
- Layout ANSI tiêu chuẩn.",990000,Bàn phím,"Bàn phím, bàn phím cơ, logitech",logitech_gaming_g213.png
2,Bàn phím bán cơ Newmen GM100S USB Full-size LED xuyên chữ,"- Bàn phím cơ 
- Dây cáp bọc dù chống đứt.
- Đèn nền 7 màu","- Bàn phím cao su thiết kế chống nước.
- Dây cáp bọc dù chống đứt.
- Ký tự được in laser bền bỉ.
- Hệ thống đèn nền 7 màu tuỳ chỉnh.
- Tích hợp các chức năng multimedia và khoá phím windows phục vụ chơi game.",399000,Bàn Phím,"Bàn phím, bàn bán phím cơ, Newmen",banphimbancoNewmen.jpg
3,Bàn phím SteelSeries Apex 100,"- Bàn phím cơ 
- Phím cao su
- Đèn led xanh","- Bàn phím cao su với cảm ứng điện dung tuổi thọ lên tới 20 triệu lượt bấm.
- Toàn bộ đèn nền màu xanh dương trên từng phím.
- 24 phím anti-ghosting.
- Tích hợp các phím đa phương tiện trên hàng F, kích hoạt cùng phím FN (logo Steelseries).
- Tích hợp chức năng khoá phím Window phục vụ chơi game",899000,Bàn Phím,"Bàn phím, SteelSerires",steelseries-apex-100-gaming.png
4,Bàn phím cơ Corsair K63 Wireless,"- Bàn phím cơ chuyên cho game thủ
- 2.4GHz Wireless
- Bluetooth 4.2 + LE","- Loại switch : CherryMX Red
- Khối lượng: 1.09 kg
- Kết nối: 2.4Ghz Wireless, Bluetooth 4.2 + LE
- Tốc độ phản hồi : 1000hz/1ms
- Thiết kế : Tenkeyless",2990000,Bàn Phím,"Bàn phím, bàn phím cơ, Corsair",CorsairK63.jpg
5,Bàn phím cơ Fuhlen Eraser Kailh,"- Bàn phím cơ 
- Công nghệ: switch cơ quang học.
- Số phím 104 phím","- Công nghệ: switch cơ quang học.
- Số phím 104 phím
- Kích thước: 443 x 220.5 x 41mm
- Chuẩn kết nối: Usb 2.0
- Switch: Blue
- Hỗ trợ phím: Khóa window, anti ghost, tăng giảm độ sáng và chuyển động led, nhiều chế độ chuyển led, multi media
- Led 7 màu",799000,Bàn Phím,"Bàn phím, bàn phím cơ, Fuhlen",FuhlenEraser.jpg
6,Bàn phím Mitsumi (KFK-EA4XT),"- Bàn phím văn phòng
- Màu Đen
- Kết nối USB 2.0
- Chất liệu Nhựa","- Màu Đen
- Kết nối USB 2.0
- Chất liệu Nhựa
- Kích thước sản phẩm (D x R x C cm) 30x10x2
- Trọng lượng (KG) 0.2
- Loại bàn phím Wired",180000,Bàn Phím,"Bàn phím, bàn phím văn phòng, Mitsumi",Mitsumi.jpg
7,Bàn phím Asus ROG Strix Flare,"- Bàn phím cơ chuyên cho game thủ
- Đèn led
- Màu đen","- Các switch phím cơ Cherry MX RGB được sản xuất tại Đức mang lại cảm giác cơ học hài hòa
- công nghệ chiếu sáng Aura Sync RGB
- Các bàn phím đa phương tiện chuyên dụng và núm xoay điều chỉnh âm lượng, một cổng USB để kết nối dễ dàng và tấm đệm cổ tay mềm có thể tháo rời.",3990000,Bàn Phím,"Bàn phím, bàn phím cơ, bàn phím chơi game, ASUS",ASUS.jpg
8,Bàn phím Dell USB,"- Bàn phím văn phòng
- Cổ điển","- Hãng Dell
- Thiết kế đơn giản
- Chất liệu gia công cao cấp",160000,Bàn Phím,"Bàn phím, bàn phím văn phòng, Dell",Dell.png
9,Bàn phím Genius 110X USB,"- Bàn phím văn phòng
- Cổ điển","- Bàn phím giá rẻ, chức năng ổn định
- Thiết kế tiêu chuẩn fullsize
- Kết nối USB 2.0
- Kích thước 162x456x25.5 mm
- Bảo hành 12 tháng",110000,Bàn Phím,"Bàn phím, bàn phím văn phòng, Genius",Genius.jpg
10,Bàn phím Razer BlackWidow X Chroma RGB,"- Bàn phím cơ chuyên cho game thủ
- Led RGB
- Dây USB","- Thiết kế đẹp mắt - LED RGB tùy biến
- Dây USB chắc chắn và bền bỉ
- Kết cấu phù hợp cho chơi các game FPS / MOBA
- Switch cơ học của Razer được tinh chỉnh nhằm đem lại tốc độ gõ và độ phải hồi tốt nhất.",3890000,Bàn Phím,"Bàn phím, bàn phím cơ, bàn phím chơi game, Razer","
RazerBlackWidowX.jpg"
